Location,Status,Reason
Sensor 501 at Lake 501,Unsafe,turbidity too high
Sensor 502 at Lake 502,Unsafe,turbidity too high
Sensor 503 at Lake 503,Unsafe,turbidity too high
Sensor 504 at Lake 504,Unsafe,"pH too low, turbidity too high"
Sensor 505 at Lake 505,Unsafe,turbidity too high
Sensor 506 at Lake 506,Unsafe,turbidity too high
Sensor 507 at Lake 507,Safe,
Sensor 508 at Lake 508,Unsafe,turbidity too high
Sensor 509 at Lake 509,Unsafe,"pH too low, turbidity too high"
Sensor 510 at Lake 510,Unsafe,turbidity too high
Sensor 511 at Lake 511,Unsafe,turbidity too high
Sensor 512 at Lake 512,Unsafe,turbidity too high
Sensor 513 at Lake 513,Unsafe,turbidity too high
Sensor 514 at Lake 514,Unsafe,"pH too low, turbidity too high"
Sensor 515 at Lake 515,Unsafe,"pH too low, turbidity too high"
Sensor 516 at Lake 516,Unsafe,turbidity too high
Sensor 517 at Lake 517,Unsafe,"pH too low, turbidity too high"
Sensor 518 at Lake 518,Unsafe,turbidity too high
Sensor 519 at Lake 519,Unsafe,"pH too low, turbidity too high"
Sensor 520 at Lake 520,Unsafe,turbidity too high
Sensor 521 at Lake 521,Unsafe,turbidity too high
Sensor 522 at Lake 522,Unsafe,turbidity too high
Sensor 523 at Lake 523,Unsafe,turbidity too high
Sensor 524 at Lake 524,Unsafe,turbidity too high
Sensor 525 at Lake 525,Unsafe,turbidity too high
Sensor 526 at Lake 526,Unsafe,turbidity too high
Sensor 527 at Lake 527,Unsafe,turbidity too high
Sensor 528 at Lake 528,Unsafe,turbidity too high
Sensor 529 at Lake 529,Unsafe,turbidity too high
Sensor 530 at Lake 530,Unsafe,turbidity too high
Sensor 531 at Lake 531,Unsafe,"pH too low, turbidity too high"
Sensor 532 at Lake 532,Unsafe,turbidity too high
Sensor 533 at Lake 533,Unsafe,turbidity too high
Sensor 534 at Lake 534,Unsafe,turbidity too high
Sensor 535 at Lake 535,Unsafe,turbidity too high
Sensor 536 at Lake 536,Unsafe,turbidity too high
Sensor 537 at Lake 537,Unsafe,turbidity too high
Sensor 538 at Lake 538,Unsafe,turbidity too high
Sensor 539 at Lake 539,Unsafe,turbidity too high
Sensor 540 at Lake 540,Unsafe,turbidity too high
Sensor 541 at Lake 541,Unsafe,turbidity too high
Sensor 542 at Lake 542,Unsafe,turbidity too high
Sensor 543 at Lake 543,Unsafe,turbidity too high
Sensor 544 at Lake 544,Unsafe,turbidity too high
Sensor 545 at Lake 545,Unsafe,turbidity too high
Sensor 546 at Lake 546,Unsafe,turbidity too high
Sensor 547 at Lake 547,Unsafe,turbidity too high
Sensor 548 at Lake 548,Unsafe,turbidity too high
Sensor 549 at Lake 549,Unsafe,"pH too low, turbidity too high"
Sensor 550 at Lake 550,Unsafe,turbidity too high
Sensor 551 at Lake 551,Unsafe,"pH too low, turbidity too high"
Sensor 552 at Lake 552,Unsafe,turbidity too high
Sensor 553 at Lake 553,Unsafe,turbidity too high
Sensor 554 at Lake 554,Unsafe,turbidity too high
Sensor 555 at Lake 555,Unsafe,turbidity too high
Sensor 556 at Lake 556,Unsafe,turbidity too high
Sensor 557 at Lake 557,Unsafe,"pH too low, turbidity too high"
Sensor 558 at Lake 558,Unsafe,"pH too low, turbidity too high"
Sensor 559 at Lake 559,Unsafe,turbidity too high
Sensor 560 at Lake 560,Unsafe,"pH too low, turbidity too high"
Sensor 561 at Lake 561,Unsafe,turbidity too high
Sensor 562 at Lake 562,Unsafe,turbidity too high
Sensor 563 at Lake 563,Unsafe,turbidity too high
Sensor 564 at Lake 564,Unsafe,"pH too low, turbidity too high"
Sensor 565 at Lake 565,Unsafe,turbidity too high
Sensor 566 at Lake 566,Unsafe,turbidity too high
Sensor 567 at Lake 567,Unsafe,turbidity too high
Sensor 568 at Lake 568,Unsafe,turbidity too high
Sensor 569 at Lake 569,Unsafe,turbidity too high
Sensor 570 at Lake 570,Unsafe,turbidity too high
Sensor 571 at Lake 571,Unsafe,"pH too low, turbidity too high"
Sensor 572 at Lake 572,Unsafe,turbidity too high
Sensor 573 at Lake 573,Unsafe,"pH too low, turbidity too high"
Sensor 574 at Lake 574,Unsafe,turbidity too high
Sensor 575 at Lake 575,Unsafe,turbidity too high
Sensor 576 at Lake 576,Unsafe,turbidity too high
Sensor 577 at Lake 577,Unsafe,turbidity too high
Sensor 578 at Lake 578,Unsafe,turbidity too high
Sensor 579 at Lake 579,Unsafe,turbidity too high
Sensor 580 at Lake 580,Unsafe,turbidity too high
Sensor 581 at Lake 581,Unsafe,turbidity too high
Sensor 582 at Lake 582,Unsafe,turbidity too high
Sensor 583 at Lake 583,Unsafe,turbidity too high
Sensor 584 at Lake 584,Unsafe,pH too low
Sensor 585 at Lake 585,Unsafe,turbidity too high
Sensor 586 at Lake 586,Unsafe,turbidity too high
Sensor 587 at Lake 587,Unsafe,turbidity too high
Sensor 588 at Lake 588,Unsafe,pH too low
Sensor 589 at Lake 589,Unsafe,turbidity too high
Sensor 590 at Lake 590,Unsafe,turbidity too high
Sensor 591 at Lake 591,Unsafe,turbidity too high
Sensor 592 at Lake 592,Unsafe,"pH too low, turbidity too high"
Sensor 593 at Lake 593,Unsafe,turbidity too high
Sensor 594 at Lake 594,Unsafe,turbidity too high
Sensor 595 at Lake 595,Unsafe,turbidity too high
Sensor 596 at Lake 596,Unsafe,turbidity too high
Sensor 597 at Lake 597,Unsafe,turbidity too high
Sensor 598 at Lake 598,Unsafe,turbidity too high
Sensor 599 at Lake 599,Unsafe,"pH too low, turbidity too high"
Sensor 600 at Lake 600,Unsafe,"pH too low, turbidity too high"
Sensor 601 at Lake 601,Unsafe,turbidity too high
Sensor 602 at Lake 602,Unsafe,turbidity too high
Sensor 603 at Lake 603,Unsafe,"pH too low, turbidity too high"
Sensor 604 at Lake 604,Unsafe,"pH too low, turbidity too high"
Sensor 605 at Lake 605,Unsafe,turbidity too high
Sensor 606 at Lake 606,Unsafe,"pH too low, turbidity too high"
Sensor 607 at Lake 607,Unsafe,turbidity too high
Sensor 608 at Lake 608,Unsafe,turbidity too high
Sensor 609 at Lake 609,Unsafe,turbidity too high
Sensor 610 at Lake 610,Unsafe,turbidity too high
Sensor 611 at Lake 611,Unsafe,turbidity too high
Sensor 612 at Lake 612,Unsafe,turbidity too high
Sensor 613 at Lake 613,Unsafe,turbidity too high
Sensor 614 at Lake 614,Unsafe,turbidity too high
Sensor 615 at Lake 615,Unsafe,turbidity too high
Sensor 616 at Lake 616,Unsafe,"pH too low, turbidity too high"
Sensor 617 at Lake 617,Unsafe,"pH too low, turbidity too high"
Sensor 618 at Lake 618,Unsafe,turbidity too high
Sensor 619 at Lake 619,Unsafe,turbidity too high
Sensor 620 at Lake 620,Unsafe,turbidity too high
Sensor 621 at Lake 621,Unsafe,turbidity too high
Sensor 622 at Lake 622,Unsafe,"pH too low, turbidity too high"
Sensor 623 at Lake 623,Unsafe,turbidity too high
Sensor 624 at Lake 624,Unsafe,turbidity too high
Sensor 625 at Lake 625,Unsafe,turbidity too high
Sensor 626 at Lake 626,Unsafe,turbidity too high
Sensor 627 at Lake 627,Unsafe,turbidity too high
Sensor 628 at Lake 628,Unsafe,turbidity too high
Sensor 629 at Lake 629,Unsafe,turbidity too high
Sensor 630 at Lake 630,Unsafe,turbidity too high
Sensor 631 at Lake 631,Unsafe,turbidity too high
Sensor 632 at Lake 632,Unsafe,turbidity too high
Sensor 633 at Lake 633,Unsafe,turbidity too high
Sensor 634 at Lake 634,Unsafe,turbidity too high
Sensor 635 at Lake 635,Unsafe,"pH too low, turbidity too high"
Sensor 636 at Lake 636,Unsafe,turbidity too high
Sensor 637 at Lake 637,Unsafe,"pH too low, turbidity too high"
Sensor 638 at Lake 638,Unsafe,turbidity too high
Sensor 639 at Lake 639,Unsafe,"pH too low, turbidity too high"
Sensor 640 at Lake 640,Unsafe,turbidity too high
Sensor 641 at Lake 641,Unsafe,turbidity too high
Sensor 642 at Lake 642,Unsafe,turbidity too high
Sensor 643 at Lake 643,Safe,
Sensor 644 at Lake 644,Unsafe,turbidity too high
Sensor 645 at Lake 645,Unsafe,turbidity too high
Sensor 646 at Lake 646,Unsafe,turbidity too high
Sensor 647 at Lake 647,Unsafe,"pH too low, turbidity too high"
Sensor 648 at Lake 648,Unsafe,turbidity too high
Sensor 649 at Lake 649,Unsafe,turbidity too high
Sensor 650 at Lake 650,Unsafe,turbidity too high
Sensor 651 at Lake 651,Unsafe,turbidity too high
Sensor 652 at Lake 652,Unsafe,turbidity too high
Sensor 653 at Lake 653,Unsafe,turbidity too high
Sensor 654 at Lake 654,Unsafe,turbidity too high
Sensor 655 at Lake 655,Safe,
Sensor 656 at Lake 656,Unsafe,turbidity too high
Sensor 657 at Lake 657,Unsafe,turbidity too high
Sensor 658 at Lake 658,Unsafe,turbidity too high
Sensor 659 at Lake 659,Unsafe,turbidity too high
Sensor 660 at Lake 660,Unsafe,turbidity too high
Sensor 661 at Lake 661,Unsafe,turbidity too high
Sensor 662 at Lake 662,Unsafe,turbidity too high
Sensor 663 at Lake 663,Unsafe,turbidity too high
Sensor 664 at Lake 664,Unsafe,turbidity too high
Sensor 665 at Lake 665,Unsafe,turbidity too high
Sensor 666 at Lake 666,Unsafe,turbidity too high
Sensor 667 at Lake 667,Unsafe,turbidity too high
Sensor 668 at Lake 668,Unsafe,turbidity too high
Sensor 669 at Lake 669,Unsafe,"pH too low, turbidity too high"
Sensor 670 at Lake 670,Unsafe,turbidity too high
Sensor 671 at Lake 671,Unsafe,turbidity too high
Sensor 672 at Lake 672,Unsafe,turbidity too high
Sensor 673 at Lake 673,Unsafe,turbidity too high
Sensor 674 at Lake 674,Unsafe,turbidity too high
Sensor 675 at Lake 675,Unsafe,"pH too low, turbidity too high"
Sensor 676 at Lake 676,Unsafe,turbidity too high
Sensor 677 at Lake 677,Unsafe,turbidity too high
Sensor 678 at Lake 678,Unsafe,turbidity too high
Sensor 679 at Lake 679,Unsafe,turbidity too high
Sensor 680 at Lake 680,Unsafe,turbidity too high
Sensor 681 at Lake 681,Unsafe,turbidity too high
Sensor 682 at Lake 682,Unsafe,turbidity too high
Sensor 683 at Lake 683,Unsafe,turbidity too high
Sensor 684 at Lake 684,Unsafe,turbidity too high
Sensor 685 at Lake 685,Unsafe,turbidity too high
Sensor 686 at Lake 686,Safe,
Sensor 687 at Lake 687,Unsafe,turbidity too high
Sensor 688 at Lake 688,Unsafe,turbidity too high
Sensor 689 at Lake 689,Unsafe,turbidity too high
Sensor 690 at Lake 690,Unsafe,turbidity too high
Sensor 691 at Lake 691,Unsafe,turbidity too high
Sensor 692 at Lake 692,Unsafe,turbidity too high
Sensor 693 at Lake 693,Unsafe,turbidity too high
Sensor 694 at Lake 694,Unsafe,turbidity too high
Sensor 695 at Lake 695,Unsafe,turbidity too high
Sensor 696 at Lake 696,Unsafe,turbidity too high
Sensor 697 at Lake 697,Unsafe,turbidity too high
Sensor 698 at Lake 698,Unsafe,turbidity too high
Sensor 699 at Lake 699,Unsafe,"pH too low, turbidity too high"
Sensor 700 at Lake 700,Unsafe,turbidity too high
Sensor 701 at Lake 701,Unsafe,turbidity too high
Sensor 702 at Lake 702,Safe,
Sensor 703 at Lake 703,Unsafe,turbidity too high
Sensor 704 at Lake 704,Unsafe,turbidity too high
Sensor 705 at Lake 705,Unsafe,turbidity too high
Sensor 706 at Lake 706,Unsafe,turbidity too high
Sensor 707 at Lake 707,Unsafe,turbidity too high
Sensor 708 at Lake 708,Unsafe,turbidity too high
Sensor 709 at Lake 709,Unsafe,turbidity too high
Sensor 710 at Lake 710,Unsafe,turbidity too high
Sensor 711 at Lake 711,Unsafe,"pH too low, turbidity too high"
Sensor 712 at Lake 712,Unsafe,turbidity too high
Sensor 713 at Lake 713,Unsafe,turbidity too high
Sensor 714 at Lake 714,Unsafe,"pH too low, turbidity too high"
Sensor 715 at Lake 715,Unsafe,turbidity too high
Sensor 716 at Lake 716,Unsafe,"pH too low, turbidity too high"
Sensor 717 at Lake 717,Unsafe,turbidity too high
Sensor 718 at Lake 718,Unsafe,turbidity too high
Sensor 719 at Lake 719,Unsafe,turbidity too high
Sensor 720 at Lake 720,Unsafe,turbidity too high
Sensor 721 at Lake 721,Unsafe,turbidity too high
Sensor 722 at Lake 722,Unsafe,turbidity too high
Sensor 723 at Lake 723,Unsafe,turbidity too high
Sensor 724 at Lake 724,Unsafe,turbidity too high
Sensor 725 at Lake 725,Unsafe,turbidity too high
Sensor 726 at Lake 726,Unsafe,turbidity too high
Sensor 727 at Lake 727,Unsafe,turbidity too high
Sensor 728 at Lake 728,Unsafe,turbidity too high
Sensor 729 at Lake 729,Unsafe,turbidity too high
Sensor 730 at Lake 730,Unsafe,turbidity too high
Sensor 731 at Lake 731,Unsafe,"pH too low, turbidity too high"
Sensor 732 at Lake 732,Unsafe,turbidity too high
Sensor 733 at Lake 733,Unsafe,turbidity too high
Sensor 734 at Lake 734,Unsafe,turbidity too high
Sensor 735 at Lake 735,Unsafe,turbidity too high
Sensor 736 at Lake 736,Unsafe,turbidity too high
Sensor 737 at Lake 737,Unsafe,turbidity too high
Sensor 738 at Lake 738,Unsafe,turbidity too high
Sensor 739 at Lake 739,Unsafe,turbidity too high
Sensor 740 at Lake 740,Unsafe,"pH too low, turbidity too high"
Sensor 741 at Lake 741,Unsafe,turbidity too high
Sensor 742 at Lake 742,Unsafe,turbidity too high
Sensor 743 at Lake 743,Unsafe,turbidity too high
Sensor 744 at Lake 744,Unsafe,turbidity too high
Sensor 745 at Lake 745,Unsafe,turbidity too high
Sensor 746 at Lake 746,Unsafe,turbidity too high
Sensor 747 at Lake 747,Unsafe,"pH too low, turbidity too high"
Sensor 748 at Lake 748,Unsafe,turbidity too high
Sensor 749 at Lake 749,Unsafe,turbidity too high
Sensor 750 at Lake 750,Unsafe,turbidity too high
Sensor 751 at Lake 751,Unsafe,"pH too low, turbidity too high"
Sensor 752 at Lake 752,Unsafe,turbidity too high
Sensor 753 at Lake 753,Unsafe,turbidity too high
Sensor 754 at Lake 754,Unsafe,"pH too low, turbidity too high"
Sensor 755 at Lake 755,Unsafe,turbidity too high
Sensor 756 at Lake 756,Unsafe,turbidity too high
Sensor 757 at Lake 757,Unsafe,turbidity too high
Sensor 758 at Lake 758,Unsafe,turbidity too high
Sensor 759 at Lake 759,Unsafe,turbidity too high
Sensor 760 at Lake 760,Unsafe,turbidity too high
Sensor 761 at Lake 761,Unsafe,turbidity too high
Sensor 762 at Lake 762,Unsafe,turbidity too high
Sensor 763 at Lake 763,Unsafe,turbidity too high
Sensor 764 at Lake 764,Unsafe,turbidity too high
Sensor 765 at Lake 765,Unsafe,turbidity too high
Sensor 766 at Lake 766,Unsafe,"pH too low, turbidity too high"
Sensor 767 at Lake 767,Unsafe,"pH too low, turbidity too high"
Sensor 768 at Lake 768,Unsafe,turbidity too high
Sensor 769 at Lake 769,Unsafe,turbidity too high
Sensor 770 at Lake 770,Unsafe,turbidity too high
Sensor 771 at Lake 771,Unsafe,turbidity too high
Sensor 772 at Lake 772,Unsafe,turbidity too high
Sensor 773 at Lake 773,Unsafe,turbidity too high
Sensor 774 at Lake 774,Unsafe,turbidity too high
Sensor 775 at Lake 775,Unsafe,turbidity too high
Sensor 776 at Lake 776,Unsafe,turbidity too high
Sensor 777 at Lake 777,Unsafe,turbidity too high
Sensor 778 at Lake 778,Unsafe,turbidity too high
Sensor 779 at Lake 779,Unsafe,turbidity too high
Sensor 780 at Lake 780,Unsafe,turbidity too high
Sensor 781 at Lake 781,Unsafe,turbidity too high
Sensor 782 at Lake 782,Unsafe,turbidity too high
Sensor 783 at Lake 783,Unsafe,turbidity too high
Sensor 784 at Lake 784,Unsafe,"pH too low, turbidity too high"
Sensor 785 at Lake 785,Unsafe,"pH too low, turbidity too high"
Sensor 786 at Lake 786,Unsafe,turbidity too high
Sensor 787 at Lake 787,Unsafe,"pH too low, turbidity too high"
Sensor 788 at Lake 788,Unsafe,turbidity too high
Sensor 789 at Lake 789,Unsafe,pH too low
Sensor 790 at Lake 790,Unsafe,turbidity too high
Sensor 791 at Lake 791,Unsafe,turbidity too high
Sensor 792 at Lake 792,Unsafe,turbidity too high
Sensor 793 at Lake 793,Unsafe,turbidity too high
Sensor 794 at Lake 794,Safe,
Sensor 795 at Lake 795,Unsafe,turbidity too high
Sensor 796 at Lake 796,Unsafe,turbidity too high
Sensor 797 at Lake 797,Unsafe,turbidity too high
Sensor 798 at Lake 798,Unsafe,turbidity too high
Sensor 799 at Lake 799,Unsafe,turbidity too high
Sensor 800 at Lake 800,Unsafe,turbidity too high
Sensor 801 at Lake 801,Unsafe,turbidity too high
Sensor 802 at Lake 802,Unsafe,"pH too low, turbidity too high"
Sensor 803 at Lake 803,Unsafe,turbidity too high
Sensor 804 at Lake 804,Unsafe,turbidity too high
Sensor 805 at Lake 805,Safe,
Sensor 806 at Lake 806,Unsafe,turbidity too high
Sensor 807 at Lake 807,Unsafe,turbidity too high
Sensor 808 at Lake 808,Safe,
Sensor 809 at Lake 809,Unsafe,turbidity too high
Sensor 810 at Lake 810,Safe,
Sensor 811 at Lake 811,Unsafe,turbidity too high
Sensor 812 at Lake 812,Unsafe,turbidity too high
Sensor 813 at Lake 813,Unsafe,turbidity too high
Sensor 814 at Lake 814,Unsafe,"pH too low, turbidity too high"
Sensor 815 at Lake 815,Unsafe,"pH too low, turbidity too high"
Sensor 816 at Lake 816,Unsafe,turbidity too high
Sensor 817 at Lake 817,Unsafe,turbidity too high
Sensor 818 at Lake 818,Unsafe,turbidity too high
Sensor 819 at Lake 819,Unsafe,turbidity too high
Sensor 820 at Lake 820,Unsafe,"pH too low, turbidity too high"
Sensor 821 at Lake 821,Unsafe,turbidity too high
Sensor 822 at Lake 822,Unsafe,turbidity too high
Sensor 823 at Lake 823,Unsafe,turbidity too high
Sensor 824 at Lake 824,Unsafe,turbidity too high
Sensor 825 at Lake 825,Unsafe,turbidity too high
Sensor 826 at Lake 826,Unsafe,turbidity too high
Sensor 827 at Lake 827,Unsafe,turbidity too high
Sensor 828 at Lake 828,Unsafe,turbidity too high
Sensor 829 at Lake 829,Unsafe,turbidity too high
Sensor 830 at Lake 830,Safe,
Sensor 831 at Lake 831,Unsafe,turbidity too high
Sensor 832 at Lake 832,Unsafe,turbidity too high
Sensor 833 at Lake 833,Unsafe,turbidity too high
Sensor 834 at Lake 834,Unsafe,turbidity too high
Sensor 835 at Lake 835,Unsafe,turbidity too high
Sensor 836 at Lake 836,Unsafe,turbidity too high
Sensor 837 at Lake 837,Unsafe,turbidity too high
Sensor 838 at Lake 838,Unsafe,turbidity too high
Sensor 839 at Lake 839,Unsafe,turbidity too high
Sensor 840 at Lake 840,Unsafe,turbidity too high
Sensor 841 at Lake 841,Unsafe,turbidity too high
Sensor 842 at Lake 842,Unsafe,turbidity too high
Sensor 843 at Lake 843,Unsafe,turbidity too high
Sensor 844 at Lake 844,Unsafe,turbidity too high
Sensor 845 at Lake 845,Unsafe,turbidity too high
Sensor 846 at Lake 846,Unsafe,turbidity too high
Sensor 847 at Lake 847,Unsafe,turbidity too high
Sensor 848 at Lake 848,Unsafe,turbidity too high
Sensor 849 at Lake 849,Unsafe,turbidity too high
Sensor 850 at Lake 850,Unsafe,turbidity too high
Sensor 851 at Lake 851,Unsafe,turbidity too high
Sensor 852 at Lake 852,Unsafe,turbidity too high
Sensor 853 at Lake 853,Unsafe,turbidity too high
Sensor 854 at Lake 854,Unsafe,turbidity too high
Sensor 855 at Lake 855,Unsafe,turbidity too high
Sensor 856 at Lake 856,Unsafe,turbidity too high
Sensor 857 at Lake 857,Unsafe,turbidity too high
Sensor 858 at Lake 858,Unsafe,"pH too low, turbidity too high"
Sensor 859 at Lake 859,Safe,
Sensor 860 at Lake 860,Unsafe,"pH too low, turbidity too high"
Sensor 861 at Lake 861,Unsafe,turbidity too high
Sensor 862 at Lake 862,Unsafe,turbidity too high
Sensor 863 at Lake 863,Unsafe,turbidity too high
Sensor 864 at Lake 864,Unsafe,turbidity too high
Sensor 865 at Lake 865,Unsafe,turbidity too high
Sensor 866 at Lake 866,Unsafe,turbidity too high
Sensor 867 at Lake 867,Unsafe,turbidity too high
Sensor 868 at Lake 868,Unsafe,turbidity too high
Sensor 869 at Lake 869,Unsafe,"pH too low, turbidity too high"
Sensor 870 at Lake 870,Unsafe,turbidity too high
Sensor 871 at Lake 871,Unsafe,"pH too low, turbidity too high"
Sensor 872 at Lake 872,Unsafe,turbidity too high
Sensor 873 at Lake 873,Unsafe,turbidity too high
Sensor 874 at Lake 874,Unsafe,turbidity too high
Sensor 875 at Lake 875,Unsafe,turbidity too high
Sensor 876 at Lake 876,Safe,
Sensor 877 at Lake 877,Unsafe,turbidity too high
Sensor 878 at Lake 878,Unsafe,turbidity too high
Sensor 879 at Lake 879,Unsafe,turbidity too high
Sensor 880 at Lake 880,Unsafe,turbidity too high
Sensor 881 at Lake 881,Unsafe,turbidity too high
Sensor 882 at Lake 882,Unsafe,turbidity too high
Sensor 883 at Lake 883,Unsafe,turbidity too high
Sensor 884 at Lake 884,Unsafe,turbidity too high
Sensor 885 at Lake 885,Unsafe,turbidity too high
Sensor 886 at Lake 886,Unsafe,turbidity too high
Sensor 887 at Lake 887,Unsafe,turbidity too high
Sensor 888 at Lake 888,Unsafe,turbidity too high
Sensor 889 at Lake 889,Unsafe,turbidity too high
Sensor 890 at Lake 890,Unsafe,turbidity too high
Sensor 891 at Lake 891,Unsafe,turbidity too high
Sensor 892 at Lake 892,Unsafe,turbidity too high
Sensor 893 at Lake 893,Unsafe,"pH too low, turbidity too high"
Sensor 894 at Lake 894,Unsafe,turbidity too high
Sensor 895 at Lake 895,Unsafe,turbidity too high
Sensor 896 at Lake 896,Unsafe,turbidity too high
Sensor 897 at Lake 897,Unsafe,turbidity too high
Sensor 898 at Lake 898,Unsafe,turbidity too high
Sensor 899 at Lake 899,Unsafe,turbidity too high
Sensor 900 at Lake 900,Unsafe,turbidity too high
Sensor 901 at Lake 901,Unsafe,"pH too low, turbidity too high"
Sensor 902 at Lake 902,Safe,
Sensor 903 at Lake 903,Unsafe,turbidity too high
Sensor 904 at Lake 904,Unsafe,turbidity too high
Sensor 905 at Lake 905,Unsafe,turbidity too high
Sensor 906 at Lake 906,Unsafe,turbidity too high
Sensor 907 at Lake 907,Unsafe,turbidity too high
Sensor 908 at Lake 908,Unsafe,turbidity too high
Sensor 909 at Lake 909,Unsafe,turbidity too high
Sensor 910 at Lake 910,Unsafe,turbidity too high
Sensor 911 at Lake 911,Unsafe,turbidity too high
Sensor 912 at Lake 912,Unsafe,turbidity too high
Sensor 913 at Lake 913,Unsafe,turbidity too high
Sensor 914 at Lake 914,Unsafe,turbidity too high
Sensor 915 at Lake 915,Unsafe,turbidity too high
Sensor 916 at Lake 916,Unsafe,turbidity too high
Sensor 917 at Lake 917,Unsafe,"pH too low, turbidity too high"
Sensor 918 at Lake 918,Unsafe,turbidity too high
Sensor 919 at Lake 919,Unsafe,"pH too low, turbidity too high"
Sensor 920 at Lake 920,Unsafe,turbidity too high
Sensor 921 at Lake 921,Unsafe,turbidity too high
Sensor 922 at Lake 922,Unsafe,turbidity too high
Sensor 923 at Lake 923,Unsafe,"pH too low, turbidity too high"
Sensor 924 at Lake 924,Unsafe,turbidity too high
Sensor 925 at Lake 925,Unsafe,"pH too low, turbidity too high"
Sensor 926 at Lake 926,Unsafe,turbidity too high
Sensor 927 at Lake 927,Unsafe,turbidity too high
Sensor 928 at Lake 928,Unsafe,turbidity too high
Sensor 929 at Lake 929,Unsafe,turbidity too high
Sensor 930 at Lake 930,Unsafe,turbidity too high
Sensor 931 at Lake 931,Unsafe,turbidity too high
Sensor 932 at Lake 932,Unsafe,turbidity too high
Sensor 933 at Lake 933,Unsafe,turbidity too high
Sensor 934 at Lake 934,Unsafe,turbidity too high
Sensor 935 at Lake 935,Unsafe,turbidity too high
Sensor 936 at Lake 936,Unsafe,turbidity too high
Sensor 937 at Lake 937,Unsafe,turbidity too high
Sensor 938 at Lake 938,Unsafe,turbidity too high
Sensor 939 at Lake 939,Unsafe,turbidity too high
Sensor 940 at Lake 940,Unsafe,"pH too low, turbidity too high"
Sensor 941 at Lake 941,Unsafe,turbidity too high
Sensor 942 at Lake 942,Unsafe,turbidity too high
Sensor 943 at Lake 943,Unsafe,"pH too low, turbidity too high"
Sensor 944 at Lake 944,Unsafe,turbidity too high
Sensor 945 at Lake 945,Unsafe,turbidity too high
Sensor 946 at Lake 946,Unsafe,turbidity too high
Sensor 947 at Lake 947,Unsafe,turbidity too high
Sensor 948 at Lake 948,Safe,
Sensor 949 at Lake 949,Unsafe,turbidity too high
Sensor 950 at Lake 950,Unsafe,turbidity too high
Sensor 951 at Lake 951,Unsafe,turbidity too high
Sensor 952 at Lake 952,Unsafe,turbidity too high
Sensor 953 at Lake 953,Unsafe,turbidity too high
Sensor 954 at Lake 954,Unsafe,turbidity too high
Sensor 955 at Lake 955,Unsafe,turbidity too high
Sensor 956 at Lake 956,Unsafe,turbidity too high
Sensor 957 at Lake 957,Unsafe,turbidity too high
Sensor 958 at Lake 958,Unsafe,turbidity too high
Sensor 959 at Lake 959,Unsafe,turbidity too high
Sensor 960 at Lake 960,Unsafe,"pH too low, turbidity too high"
Sensor 961 at Lake 961,Unsafe,"pH too low, turbidity too high"
Sensor 962 at Lake 962,Unsafe,"pH too low, turbidity too high"
Sensor 963 at Lake 963,Unsafe,turbidity too high
Sensor 964 at Lake 964,Unsafe,turbidity too high
Sensor 965 at Lake 965,Unsafe,turbidity too high
Sensor 966 at Lake 966,Unsafe,turbidity too high
Sensor 967 at Lake 967,Unsafe,"pH too low, turbidity too high"
Sensor 968 at Lake 968,Unsafe,turbidity too high
Sensor 969 at Lake 969,Unsafe,turbidity too high
Sensor 970 at Lake 970,Unsafe,turbidity too high
Sensor 971 at Lake 971,Unsafe,turbidity too high
Sensor 972 at Lake 972,Unsafe,turbidity too high
Sensor 973 at Lake 973,Unsafe,turbidity too high
Sensor 974 at Lake 974,Unsafe,turbidity too high
Sensor 975 at Lake 975,Unsafe,turbidity too high
Sensor 976 at Lake 976,Unsafe,turbidity too high
Sensor 977 at Lake 977,Unsafe,"pH too low, turbidity too high"
Sensor 978 at Lake 978,Unsafe,turbidity too high
Sensor 979 at Lake 979,Unsafe,turbidity too high
Sensor 980 at Lake 980,Unsafe,turbidity too high
Sensor 981 at Lake 981,Unsafe,turbidity too high
Sensor 982 at Lake 982,Unsafe,turbidity too high
Sensor 983 at Lake 983,Unsafe,turbidity too high
Sensor 984 at Lake 984,Unsafe,turbidity too high
Sensor 985 at Lake 985,Unsafe,turbidity too high
Sensor 986 at Lake 986,Unsafe,turbidity too high
Sensor 987 at Lake 987,Unsafe,turbidity too high
Sensor 988 at Lake 988,Unsafe,turbidity too high
Sensor 989 at Lake 989,Unsafe,turbidity too high
Sensor 990 at Lake 990,Unsafe,"pH too low, turbidity too high"
Sensor 991 at Lake 991,Unsafe,turbidity too high
Sensor 992 at Lake 992,Unsafe,"pH too low, turbidity too high"
Sensor 993 at Lake 993,Unsafe,turbidity too high
Sensor 994 at Lake 994,Unsafe,turbidity too high
Sensor 995 at Lake 995,Unsafe,turbidity too high
Sensor 996 at Lake 996,Unsafe,turbidity too high
Sensor 997 at Lake 997,Unsafe,turbidity too high
Sensor 998 at Lake 998,Unsafe,turbidity too high
Sensor 999 at Lake 999,Unsafe,turbidity too high
Sensor 1000 at Lake 1000,Unsafe,turbidity too high
